title,artist,genre,lyricist,music,key,beat,lyrics,selected,metaphor,metaphor_interpretation,metaphor_source_domain,metaphor_target_domain
Adara Samarum | ආදර සැමරුම්,Sanath Nandasiri,Old Pops,Ajantha Ranasinghe,Sanath Nandasiri,Eb minor,6/8,"ආදර සැමරුම් කැටිවූ නෙතු කඳුළින් මුතු පබළු 
නිමා කළෙමි සිහිවටනය  
යමුනා තීරේ..යමුනා තීරේ 
එවන් නිමල මැදුර බලා වඩින්න දේවියේ 
මහද අඳුරු ලෙන අතහැර වඩින්න දේවියේ 
දහසක් මිණි මල් ලිය කම් 
පෙම පිදු වූ රන් කැටයම් 
යමුනාවේ තරඟ මතින් මත පිළිබිඹු වේවා 
චමත් කාර අතීත සඳ යළිත් ජනිත වේවා 
අපගේ පෙම් පුරාවතින්  
දෙරණ හෙළු කඳුළු ගලා 
මැදුරත කිරිගරුඬ පවුරු පබා කැළුම් දේවා 
සනාතන වූ පෙම් සිතුවම් එහි සටහන් වේවා",1,ආදර සැමරුම් කැටිවූ නෙතු කඳුළින් මුතු පබළු,ආදරය නිර්මලත්වය නිසා කඳුළු මුතු බවට පරිවර්තනය වීම,කඳුළු මුතු බවට පරිවර්තනය කිරීම,ආදරයේ නිර්මලත්වය
Game Kopi Kade | ගමේ කෝපි කඩේ,Sanath Nandasiri,Classics,Ajantha Ranasinghe,Premasiri Khemadasa,F minor,6/8,"ගමේ කෝපි කඩේ දෙන්නා දෙපැත්තේ දාං අදින්නේ 
ගැටව් කතා බහට කඩ එළිපත්තේ රංචු ගැහෙන්නේ 
ගමේ රටේ අහේනියයි ළමයිනේ 
ඔය පුරසාරම් වැඩකට නෑ ළමයිනේ 
ගමේ කෝපි කඩේ දෙන්නා දෙපැත්තේ දාං අදින්නේ 
ගැටව් කතා බහට කඩ එළිපත්තේ රංචු ගැහෙන්නේ 
අපේ කාලෙ අස්වැද්දූ කුඹුරු ලියදි පාළු වෙලා 
තල කුරහං අල දෙල් කොස් හේන් පිටින් පාළු වෙලා 
අම්ම අප්ප මොක මොකවත්කන්න බොන්න දුන් පලියට 
ලැජ්ජ නැද්ද කාලෙ කන්න ගැටවරයිනි කඩ පිල් යට 
අතපය හත්තිය තියෙද්දි කම්මැලි කම් මොකද බොලව් 
මගෙ පුපුවත් පත්තු වෙනව අර ඉපනැලි යාය බලව් 
වයස ගියත් මගෙ අත පය බලාපල්ල යකඩ වගේ 
අපි වවලයි අපි කෑවේ උත්තම රජගොල්ලො වගේ",1,මගෙ පුපුවත් පත්තු වෙනව,යමක් දැක කෝපයට පත් වීම,පපුව පත්තු වීම හෙවත් ගිනි ගැනීම,කෝපය
,,,,,,,,,වයස ගියත් මගෙ අත පය බලාපල්ල යකඩ වගේ ,ඉතා ශක්තිමත් අත පය,යකඩ,ශක්තිය
Eda Meda Thura | එදා මෙදා තුර,Sanath Nandasiri,Classics,Wimal Jayashantha,Sanath Nandasiri,F major,4/4,"එදා මෙදා තුර කඳුලට විවරව  
දෑස් පියන් පත් කවුළු වසා  
ලයේ ගලාගිය සෙනේහයේ සුව  
සිනා පිරුනු රත් දෙතොල් පියා  
මිලාන වී ගිය රෝස කොපුල්පෙති  
කම්මුල් සුදුමැලි පාට හොවා  
දෑත ලයේ බැඳ අවසන් ගමනට  
සොඳුරිය මට නොකියාම ගියා  
දෑස් කවුලු පත් වලා කඳුලු කැට  
වෑහෙද්දී මගෙ දෑස් අඟින්  
කාත් කවුරුවත් වෙතක් හිතයි මට  
පාත් වෙන්න ඔය මුවට උඩින්  
ඈත්ව යන්නට සමුගෙන කවුරුන්  
ඔබෙ මුව දෝතක් සුවඳ පැනින්  
මාත් මගේ හිතටත් ඔබ සුවඳයි  
ඈත් නොවේමයි ඒ සුවඳින්  
ඊයේ ඉපදී අද මිය යන්නට  
පෙරුම් පුරාගෙන උපන් ලයේ  
ඊයේ වේඟේ අහස උසට බැඳි  
ආදර ලෝකය හෙටත් තියේ 
ඒත් ඉතින් දැන් සොඳුරිය ඔබ නැති  
ඇයි මේ ලොව මා තනිව ගියේ 
ආයේ දවසක එක හිත් ඇත්තන්  
වී අපි ඉපදෙමු එකට ප්‍රියේ",1,දෑස් පියන් පත් කවුළු වසා,මරණයට පත්වීම,දෑස් වසා ගැනීම,මරණය
Eka Yayata | එක යායට,Sanath Nandasiri,Old Pops,Sunil Ariyarathna,H.M.Jayawardhana,E minor,6/8,"එක යායට මල් පීදුන බිම් තීරේ 
පාර දිගේ කණින් කණට 
කොඳුර කොඳුර ඔබයි මමයි විතරයි හිටියේ 
රාස්සිගේ අව්ව වැටී  
දඹරන් වූ ඔබේ කෙහෙරැලි  
සුළං සමග පොරබැදුවා 
ඔබට මතක නැති උනාට  
අදවගේ මතකයි මට 
ගොපලු කොලුගෙ බටනලාව  
සංගීතය මවන අතර  
දොලේ දියෙන් පාදෙව්වා 
ඔබට මතක නැති උනාට  
අදවගේ මතකයි මට",1,දඹරන් වූ ඔබේ කෙහෙරැලි,ඉතා සතුටින් සිනා සීම,දඹරන්,සිනහවේ දීප්තිය
Duleeka | දුලීකා,Sanath Nandasiri,Classics,Sunil Ariyarathna,Premasiri Khemadasa,G minor,4/4,"සීත රෑ යාමේ අඳුරේ 
වාසනා නිල් දෑස පායා 
ආදරේ උණුසුම් සුසුම් වැල් 
මා හදේ රහසේ රැඳුනා 
දුලීකා… දුලීකා… දුලීකා… දුලීකා… 
මා බලා සිටියා දිවා රෑ කල්පනා යහනේ 
නෑ එවන් රුව තාම දුටුවේ නාඳුනන සිහිනේ 
මා ඔබේ හසරැල් ජලාශේ කිමිදෙනා මොහොතේ 
ඔබ සොයා එන්නම් ඉගිල්ලී තාරකා එළියේ",1,මා ඔබේ හසරැල් ජලාශේ කිමිදෙනා මොහොතේ,ඇයගේ සිනහව දැක තෘප්තියට පත්වීම,ජලාශේ කිමිදීම,තෘප්තිය
Du Anuradha -දූ අනුරාධා,Sanath Nandasiri,Request,Buddhadasa Galappaththi,Sanath Nandasiri,G,2/4,"දූ අනුරාධා දූ අනුරාධා 
දූ  අනුරාධා .... 
කෝමල අත් පා සෙමින් සැලේ 
හිනැහී යළි මව් තුරුළෙ වෙලේ .. 
හදවත රැඳි දුක් සැණින් මැකේ 
ජීවිතයම සොම්නසින් පිරේ 
ජීවිතයම සොම්නසින් පිරේ 
ප්‍රාර්ථනාවන් මල් පුබුදා 
සිරිදුන අප පැල වෙත කැන්දා ... 
පිය රජු ලෙස මා කිරුළ දරා 
රජ වෙමි මගෙ දිවි තිබෙන තුරා 
රජ වෙමි මගෙ දිවි තිබෙන තුරා",1,ප්‍රාර්ථනාවන් මල් පුබුදා ,ප්‍රාර්ථනාවන් ඉෂ්ඨ වීම,මල් පබිදීම,ඉෂ්ඨ වීම
Dedunne Pata Patin | දේදුන්නේ පාට පාටින්,Sanath Nandasiri,Old Pops,Praneeth Abayasundara,Stanley Pieris,C major,2/4,"දේදුන්නේ පාට පාටින් ආදරේ බැන්දු 
සංසාරේ වන්දනාවේ ප්‍රේමයේ ළන්දු 
සන්ධ්‍යාවේ නිම් වළල්ලේ මායාවේ දෑස දැල්වේ 
කවුරුන්දෝ ඈ නොවේදෝ ඈ මගේ නේදෝ 
ගංගාවේ ගීතයක් වී ගිම්හානේ මේඝයක් වී  
සන්තාපේ අංගනාවී ඈ මාගේ නේදෝ 
තුන්කල් දකිනා ඇල්මෙන් රඳනා 
තන්හාවකින් ළං ළං වෙලා 
රන් මෙවුලේ නෙත් රැඳේවි පා යුග්මේ නෙත් රැඳේවි 
මල් යහනේ දේවතාවී ඈ මාගේ නේදෝ 
දෑතේ පැටලී කාමී ඇඳුරේ 
කැන්දාගනී මෝහනය වී",1,සන්ධ්‍යාවේ නිම් වළල්ලේ,සන්ධ්‍යාව අවසන් වී රාත්‍රිය ඉලඹිම,නිම් වලල්ල,අවසන් වීම
Mama Nam Asayi | මම නම් ආසයි,Sanath Nandasiri,Golden Pop,Praneeth Abayasundara,Sanath Nandasiri,D major,2/4,"මම නම් ආසයි අහන්න නයනා  
ඉස්සර වාගේ ඔබේ මුවින් 
දෙනෙත පියාගෙන කියන්න මුමුණා  
එක වදනක් හෝ කෝල ලෙසින් 
වෙන කවුරුත් නෑ අහගෙන ඉන්නේ  
ඉරහඳ පමණයි කවදත් උන්නේ 
මම නම් ආසයි අහන්න නයනා  
ඉස්සර වාගේ ඔබේ මුවින් 
ඉඳුල් මහේ නෙත මුලින්ම දුටුදා  
මා හා හිනැහුනු අහිංසකාවිය 
අදත් එදා මෙන් දකින්න ඇත්නම්  
මට පෙම් කල මුදු නිසංසලාවිය 
මා ආගන්තුක ලෙසද පෙනෙන්නනේ  
පුරුදු හඩින් ඇයි හිනා නොවන්නේ 
පාසල් කාලය ඔහේ ගෙවෙද්දෙන්  
ලෝකය යනතක ගමනේ යද්දෙන් 
පුංචි දැරිය යුවතියක වුනාදෙන්  
මගේ බොළඳ හිත මට තිබුනාදෙන් 
ලොවට බයේ ඇයි ජීවත් වෙන්නේ  
දුරින් නොවේ ඔබ ළඟයි හිඳින්නේ ",1,"වෙන කවුරුත් නෑ අහගෙන ඉන්නේ  
ඉරහඳ පමණයි කවදත් උන්නේ ",අප දෙදෙනා හැර වෙන කව්රුත් අසාගෙන නොසිටියි,ඉරහඳ,අප දෙදෙනා
Mage Ratata | මගේ රටට,Sanath Nandasiri,Inspirational,Sunil Sarath Perera,Sanath Nandasiri,D major,4/4,"මගේ රටට දළදා හිමි සෙවණයි 
මගේ දැයට දළදා හිමි සරණයි 
සැපතින් සපිරුණු නිවහල් දෙරණයි 
උපතින් මා හට මේ හැම උරුමයි 
දළදා මැදුරේ රන්කොත මුදුනේ 
මිණි කිරණින් මුළු රටම අවදි වේ 
දෙදහස් වසරක මහරු අතීතය 
සීහ තේජසින් යළි පිබිදී එයි 
මෙතැනම වී දැය එක ලෙස බැඳුනේ 
සිත් තුල බිය සංඛා දුරු කෙරුනේ 
සමිඳුන් සෙවනේ ජය දද බැඳුනා 
ජය බෙර වැයුනා ජය ගී ගැයුනා ",1,මිණි කිරණින් මුළු රටම අවදි වේ,රටට වාසනාව දළදා කරඬුවෙන් අත්වීම,මිණි කිරනින් රටම අවදි වීම,රටට වාසනාව උදා වීම
